time;activity
2019-10-21 13:55:00+00;Bureau
2019-10-21 16:49:00+00;Rue
2019-10-21 16:59:00+00;Bureau
2019-10-21 17:10:00+00;Rue
2019-10-21 17:15:00+00;Domicile
2019-10-22 07:20:00+00;Rue
2019-10-22 07:29:00+00;Bureau
2019-10-22 16:44:00+00;Rue
2019-10-23 19:40:00+00;Magasin
2019-10-23 19:45:00+00;Rue
2019-10-23 19:52:00+00;Domicile
2019-10-24 07:53:00+00;Rue
2019-10-24 08:01:00+00;Bureau
2019-10-24 16:13:00+00;Rue
2019-10-24 16:25:00+00;Magasin
2019-10-24 16:30:00+00;Rue
2019-10-24 16:36:00+00;Domicile
2019-10-25 07:01:00+00;Rue
2019-10-25 07:05:00+00;Train
2019-10-25 07:15:00+00;Métro
2019-10-25 07:35:00+00;Rue
2019-10-25 07:41:00+00;Bus
2019-10-25 08:14:00+00;Rue
2019-10-25 08:22:00+00;Bus
2019-10-25 08:50:00+00;Rue
2019-10-25 08:54:00+00;Bureau
2019-10-25 15:54:00+00;Rue
2019-10-25 16:14:00+00;Bus
2019-10-25 16:45:00+00;Train
2019-10-25 16:55:00+00;Rue
2019-10-25 16:59:00+00;Bus
2019-10-25 17:15:00+00;Rue
2019-10-25 17:24:00+00;Domicile
2019-10-26 09:39:00+00;Parc
2019-10-26 09:54:00+00;Domicile
2019-10-26 13:37:00+00;Rue
2019-10-26 13:48:00+00;Train
2019-10-26 14:09:00+00;Magasin
2019-10-26 14:21:00+00;Bus
2019-10-26 14:28:00+00;Rue
2019-10-26 14:30:00+00;Magasin
2019-10-26 14:42:00+00;Rue
2019-10-26 14:53:00+00;Bus
2019-10-26 15:01:00+00;Magasin
2019-10-26 15:15:00+00;Train
2019-10-26 15:40:00+00;Rue
2019-10-26 15:47:00+00;Bus
2019-10-26 15:57:00+00;Rue
2019-10-26 15:59:00+00;Bus
2019-10-26 16:05:00+00;Rue
2019-10-26 16:10:00+00;Domicile
2019-10-26 16:34:00+00;Rue
2019-10-26 16:44:00+00;Domicile
2019-10-28 07:28:00+00;Rue
2019-10-28 07:36:00+00;Bureau
